iso	hs2	year	x	x_wd	description	product_name
"BWA"	42	2023	2364158	133657927680	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"	"ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)"
"BWA"	43	2000	7070	4717797888	"Furskins and artificial fur; manufactures thereof"	"FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF"
"BWA"	43	2023	11663	5728230912	"Furskins and artificial fur; manufactures thereof"	"FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF"
"BWA"	44	2000	423143	72894767104	"Wood and articles of wood; wood charcoal"	"WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL"
"BWA"	44	2023	1127203	177905647616	"Wood and articles of wood; wood charcoal"	"WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL"
"BWA"	45	2000	1715	1916728832	"Cork and articles of cork"	"CORK AND ARTICLES OF CORK"
"BWA"	45	2023	862	2961901312	"Cork and articles of cork"	"CORK AND ARTICLES OF CORK"
"BWA"	46	2000	48135	1170079872	"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork"	"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK"
"BWA"	46	2023	16704	3538063104	"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork"	"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK"
"BWA"	47	2000	386270	25325492224	"Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard"	"PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD"
"BWA"	47	2023	879960	61258776576	"Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard"	"PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD"
"BWA"	48	2000	6183092	115651280896	"Paper and paperboard; articles of paper pulp, of paper or paperboard"	"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD"
"BWA"	48	2023	2847635	221077929984	"Paper and paperboard; articles of paper pulp, of paper or paperboard"	"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD"
"BWA"	49	2000	3081768	29778026496	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"	"PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS"
"BWA"	49	2023	110557	42429280256	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"	"PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS"
"BWA"	50	2000	0	2703423488	"Silk"	"SILK"
"BWA"	50	2023	601	2126341120	"Silk"	"SILK"
"BWA"	51	2000	36380	13854594048	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	"WOOL, FINE OR COARSE ANIMAL HAIR; HORSEHAIR YARN AND WOVEN FABRIC"
"BWA"	51	2023	3618	13055258624	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	"WOOL, FINE OR COARSE ANIMAL HAIR; HORSEHAIR YARN AND WOVEN FABRIC"
"BWA"	52	2000	2076752	35344449536	"Cotton"	"COTTON"
"BWA"	52	2023	128481	58585481216	"Cotton"	"COTTON"
"BWA"	53	2000	5278	3508547840	"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	"OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN"
"BWA"	53	2023	9	7308324864	"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	"OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN"
