countrycode	country	pop1960	hc1960	cgdpo1960	cn1960	pop2000	hc2000	cgdpo2000	cn2000	region
"DZA"	"Algeria"	11.326767	1.137281	119033	427421.8	31.042235	1.88508	287647	1658963	"Middle East & North Africa"
"ECU"	"Ecuador"	4.5127103	1.664272	19135	56692.01	12.681123	2.453589	70227	321463.8	"Latin America & Caribbean"
"EGY"	"Egypt"	27.598117	1.11206	18414	7191.48	68.831561	1.965141	364626	427635.7	"Middle East & North Africa"
"ESP"	"Spain"	30.647762	1.941679	195454	582646.6	40.824754	2.635422	1152032	4705188	"Europe & Central Asia"
"EST"	"Estonia"					1.399112	3.302356	17469	68219.2	"Europe & Central Asia"
"ETH"	"Ethiopia"	23.304702	1.015876	11653	7395.044	66.224804	1.189565	38465	80443.11	"Sub-Saharan Africa"
"FIN"	"Finland"	4.4354263	2.197851	43335	196015	5.187954	3.131667	186014	771147.5	"Europe & Central Asia"
"FJI"	"Fiji"	.3930173	1.536492	1114	833.4459	.811006	2.42233	5188	7696.495	"East Asia & Pacific"
"FRA"	"France"	46.619302	2.117613	508479	2359594	60.874357	2.891696	2105389	7497759	"Europe & Central Asia"
"GAB"	"Gabon"	.51077834	1.072033	1747	3529.661	1.22836	2.122701	13895	41875.7	"Sub-Saharan Africa"
"GBR"	"United Kingdom"	52.316885	2.550139	657586	2213329	58.923309	3.509591	2041667	6517053	"Europe & Central Asia"
"GHA"	"Ghana"	6.915966	1.099719	32567	110673.8	19.278856	2.118727	67176	222639.8	"Sub-Saharan Africa"
"GMB"	"Gambia"	.33730342	1.051956	905	978.115	1.317703	1.304882	3732	6839.086	"Sub-Saharan Africa"
"GRC"	"Greece"	8.2050107	1.966385	42308	244330.2	11.082104	2.729211	273906	1595589	"Europe & Central Asia"
"GTM"	"Guatemala"	4.3782043	1.181809	9884	16516.22	11.650743	1.651327	62032	150106.1	"Latin America & Caribbean"
"HKG"	"China, Hong Kong SAR"	2.9897943	1.784966	16586	38443.88	6.606327	2.70269	291741	1115436	"East Asia & Pacific"
"HND"	"Honduras"	1.920526	1.256006	4234	6690.507	6.574509	1.882193	23186	57943.58	"Latin America & Caribbean"
"HRV"	"Croatia"					4.428075	2.910054	57320	237176.4	"Europe & Central Asia"
"HTI"	"Haiti"	3.8070858	1.144145	5822	19286.58	8.463806	1.506733	19327	91326.59	"Latin America & Caribbean"
"HUN"	"Hungary"					10.220507	2.962127	159434	487552.2	"Europe & Central Asia"
"IDN"	"Indonesia"	94.47304	1.158581	132178	344190.3	211.51382	2.185667	811589	1865089	"East Asia & Pacific"
"IND"	"India"	446.43946	1.133936	522234	1121515	1056.5755	1.782071	2305846	6081278	"South Asia"
